year,film,winner,nominated_for_Writing,nominated_for_BestDirector,nominated_for_BestActress,nominated_for_BestActor,nominated_for_BestFilmEditing,Adventure,Biography,Comedy,Crime,Drama,History,Musical,Romance,Thriller,War,Other
2012,Life of Pi,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333
2012,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0
2013,12 Years a Slave,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0
2013,Her,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333
2013,Philomena,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0.5,0,0,0.5,0,0,0,0,0,0
2013,Dallas Buyers Club,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0.5,0,0,0.5,0,0,0,0,0,0
2013,Nebraska,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0
2013,The Wolf of Wall Street,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0
2013,Gravity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0.5,0,0.5
2013,Captain Phillips,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0
2013,American Hustle,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0,0,0,0.5,0.5,0,0,0,0,0,0
2014,Birdman or (The Unexpected Virtue of Ignorance),TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0.5,0,0.5,0,0,0,0,0,0
2014,The Imitation Game,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0.25,0,0,0.25,0,0,0,0.25,0.25,0
2014,Whiplash,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0.5,0,0,0,0,0,0.5
2014,American Sniper,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0.166666666666667
2014,The Grand Budapest Hotel,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0
2014,Boyhood,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,1,0,0,0,0,0,0
2014,Selma,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0
2014,The Theory of Everything,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0
